dataset,repeat,seed,partition,3d_mean_mm,3d_rmse_mm,2d_mean_px,2d_rmse_px,psnr_db,ssim,lpips_alex
grasp5,repeat_01,0,reconstruction_7to1_within_train80,12.346524398566949,13.685885931307846,26.36213459836112,38.539249091106306,28.287586764533515,0.8836482229332129,0.27184919350677067
grasp5,repeat_01,0,future_80to20,12.089145259420958,13.37809598551693,21.83627451542885,24.139002092020956,26.78683812323558,0.8370519630197022,0.28627346280134386
grasp5,repeat_02,1,reconstruction_7to1_within_train80,9.198812399214754,10.804735372831862,25.889784778930522,38.290591983801356,28.323624673105076,0.8851163163781166,0.27013303494701785
grasp5,repeat_02,1,future_80to20,8.909968519958877,10.490165643674223,21.75535316698013,24.19732805068247,26.695813259061772,0.8349609358443154,0.287645577142636
grasp5,repeat_03,2,reconstruction_7to1_within_train80,10.806619644561714,12.00861543729166,26.096026831423796,38.99380252505843,28.30995862055645,0.8844136053489314,0.27179698563284344
grasp5,repeat_03,2,future_80to20,10.445867048486345,11.574193929271782,21.8224007544979,24.412632111629915,26.61870785741635,0.8347416275905238,0.29084555504636633
grasp3,repeat_01,0,reconstruction_7to1_within_train80,6.972252105732055,9.50905255417005,27.429060936541784,38.08738659988463,28.29198829572143,0.8829723645523551,0.2674657653495309
grasp3,repeat_01,0,future_80to20,6.344468722421549,8.630265673631463,19.648340624028986,20.596947400117404,27.023396789639,0.8503231023760742,0.2873842754462152
grasp3,repeat_02,1,reconstruction_7to1_within_train80,4.936133683518814,6.662059216622203,26.246496713915395,36.48867603878142,28.29550356364186,0.8828903151595074,0.2694710282167951
grasp3,repeat_02,1,future_80to20,4.132935087810355,5.6880284517088375,18.748062536933205,20.614954549895238,27.090171820090465,0.8511390629749899,0.2905628523872782
grasp3,repeat_03,2,reconstruction_7to1_within_train80,5.969204349942932,7.862479836099432,27.884817047310726,39.24023940010206,28.271752841088404,0.8828556624011717,0.2672686149244723
grasp3,repeat_03,2,future_80to20,5.100543195228304,6.902031085839963,19.03115592653101,20.426755995428252,26.973738607513422,0.8467014658537673,0.2893552671910487
grasp1,repeat_01,0,reconstruction_7to1_within_train80,5.814579747164403,6.586665440649058,28.43726899235376,43.07167122101238,28.316966858979168,0.8836542261751135,0.2749261833426505
grasp1,repeat_01,0,future_80to20,5.5521421196740555,6.117659169962107,35.76042185716851,39.094825341592134,27.32621468973214,0.849197710878642,0.284637680873009
grasp1,repeat_02,1,reconstruction_7to1_within_train80,8.080975528996316,9.170312040376217,29.135425219099435,44.14872280752144,28.335384605978504,0.8840957225926415,0.27752729192057585
grasp1,repeat_02,1,future_80to20,7.5724361665400695,8.599824277790844,36.4284665196441,39.69832679455243,27.459145184144468,0.8535272976589543,0.28316886997676494
grasp1,repeat_03,2,reconstruction_7to1_within_train80,5.804595016940896,6.810753793157712,27.89624656586287,42.886362998711334,28.37258740968892,0.8844321920866072,0.27516597647423413
grasp1,repeat_03,2,future_80to20,5.424142244466862,6.272175733243444,35.413697453432306,38.86050567003298,27.418537579477533,0.8507255288848695,0.28362251006678085
